# TUFCI Incremental Pruning Experiment
# Database: data/chess_uncertain.txt
# Tau: 0.7, K: 50
# 2025-12-30T18:24:19.188630

config,level,totalTimeMs,phase1TimeMs,phase2TimeMs,phase3TimeMs,candidatesGenerated,candidatesExplored,totalPruned,prunedByP1,prunedByP2,prunedByP3,prunedByP4,prunedByP5,prunedByP6,prunedByP7,supportCalculations,closureChecks,tidsetIntersections,cacheHits,cacheMisses,cacheSize,patternsFound
BASE,0,8632,99,5164,3368,4530,4530,4488,0,4488,0,0,0,0,0,4607,232,4532,999,4532,4614,50
+P1,1,6588,56,3104,3428,3021,3021,2979,0,2979,0,0,0,0,0,3104,232,3023,99,3023,3105,50
+P1+P2,2,6790,52,3252,3486,3021,43,2979,0,2979,0,0,0,0,0,3104,232,3023,99,3023,3105,50
+P1+P2+P3,3,5397,46,3192,2159,1753,43,3466,0,1711,1755,0,0,0,0,1836,232,1755,99,1755,1837,50
+P1+P2+P3+P4,4,6424,59,3773,2591,1753,43,3790,0,1711,1755,324,0,0,0,1836,232,1755,99,1755,1837,50
+P1+P2+P3+P4+P5,5,8017,89,5310,2618,1735,43,4510,0,1693,1755,324,738,0,0,1820,232,1739,99,1739,1821,50
+P1+P2+P3+P4+P5+P6,6,6935,47,4592,2295,1735,43,4510,0,1693,1755,324,738,0,0,1820,232,1739,99,1739,1821,50
ALL,7,7953,66,5378,2508,1732,43,4538,0,1690,1755,329,738,0,26,1810,211,1738,101,1738,1820,50
